User,Time,Working Directory,Command,Duration
10.103.130.144,2022-04-15 20:31:25,/home/ubuntu/volatility,vol.py -f memory.dmp imageinfo,0:00:11
10.103.130.144,2022-04-15 20:44:39,/home/ubuntu/volatility,volatility -f memory.dmp imageinfo,0:13:14
10.103.130.144,2022-04-15 20:45:23,/home/ubuntu/volatility,python vol.py -f memory.dmp imageinfo,0:00:44
10.103.130.144,2022-04-15 20:45:34,/home/ubuntu/volatility,"grep -a ""BOOT_IMAGE"" memory.dmp",0:00:11
10.103.130.144,2022-04-15 20:46:43,/home/ubuntu/volatility,GUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLE,0:01:09
10.103.130.144,2022-04-15 21:13:08,/home/ubuntu,python vol.py -f memory.dmp imageinfo,0:26:25
10.103.130.144,2022-04-15 21:13:16,/home/ubuntu,python vol.py -f memory.dmp imageinfo,0:00:08
10.103.130.144,2022-04-15 21:13:21,/home/ubuntu,ls,0:00:05
10.103.130.144,2022-04-15 21:13:28,/home/ubuntu/volatility,cd \volatility,0:00:07
10.103.130.144,2022-04-15 22:29:40,/home/ubuntu/volatility,python vol.py -f memory.dmp imageinfo,1:16:12
10.103.130.144,2022-04-15 22:30:00,/home/ubuntu/volatility,"grep -a ""Linux release"" memory.dmp",0:00:20
10.103.130.144,2022-04-15 22:30:07,/home/ubuntu/volatility,ls,0:00:07
10.103.130.144,2022-04-15 22:31:21,/home/ubuntu/volatility,python vol.py --info | grep Linux,0:01:14
10.103.130.144,2022-04-15 22:33:07,/home/ubuntu,python vol.py --info | grep Linux,0:01:46
10.103.130.144,2022-04-15 22:33:49,/home/ubuntu,"grep -a ""BOOT_IMAGE"" memory.dmp",0:00:42
10.103.130.144,2022-04-15 22:33:57,/home/ubuntu,ls,0:00:08
10.103.130.144,2022-04-15 22:34:03,/home/ubuntu/volatility,cd \volatility,0:00:06
10.103.130.144,2022-04-15 22:34:08,/home/ubuntu/volatility,"grep -a ""BOOT_IMAGE"" memory.dmp",0:00:05
10.103.130.144,2022-04-15 22:35:27,/home/ubuntu/volatility,GUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLEGUACAMOLE,0:01:19
